type,tone1,gap,tone2,after
invalid,tone_2000.wav,2936,tone_500.wav,5000
valid,tone_500.wav,2539,tone_500.wav,5000
valid,tone_500.wav,2880,tone_500.wav,5000
valid,tone_500.wav,2127,tone_500.wav,5000
valid,tone_500.wav,2146,tone_500.wav,5000
valid,tone_2000.wav,2736,tone_2000.wav,5000
valid,tone_2000.wav,2992,tone_2000.wav,5000
invalid,tone_500.wav,2313,tone_2000.wav,5000
invalid,tone_500.wav,2613,tone_2000.wav,5000
valid,tone_500.wav,2135,tone_500.wav,5000
valid,tone_2000.wav,2907,tone_2000.wav,5000
valid,tone_2000.wav,2608,tone_2000.wav,5000
valid,tone_500.wav,2537,tone_500.wav,5000
valid,tone_500.wav,2985,tone_500.wav,5000
valid,tone_2000.wav,2956,tone_2000.wav,5000
valid,tone_500.wav,2600,tone_500.wav,5000
valid,tone_2000.wav,2705,tone_2000.wav,5000
invalid,tone_2000.wav,2623,tone_500.wav,5000
valid,tone_2000.wav,2895,tone_2000.wav,5000
valid,tone_2000.wav,2073,tone_2000.wav,5000
valid,tone_2000.wav,2703,tone_2000.wav,5000
valid,tone_500.wav,2381,tone_500.wav,5000
invalid,tone_2000.wav,2379,tone_500.wav,5000
valid,tone_500.wav,2838,tone_500.wav,5000
valid,tone_2000.wav,2704,tone_2000.wav,5000
valid,tone_2000.wav,2784,tone_2000.wav,5000
invalid,tone_500.wav,2151,tone_2000.wav,5000
valid,tone_500.wav,2492,tone_500.wav,5000
valid,tone_500.wav,2537,tone_500.wav,5000
valid,tone_500.wav,2700,tone_500.wav,5000
valid,tone_2000.wav,2882,tone_2000.wav,5000
valid,tone_2000.wav,2240,tone_2000.wav,5000
valid,tone_500.wav,2512,tone_500.wav,5000
valid,tone_500.wav,2290,tone_500.wav,5000
valid,tone_2000.wav,2473,tone_2000.wav,5000
valid,tone_2000.wav,2992,tone_2000.wav,5000
valid,tone_2000.wav,2055,tone_2000.wav,5000
valid,tone_500.wav,2931,tone_500.wav,5000
invalid,tone_500.wav,2777,tone_2000.wav,5000
valid,tone_500.wav,2036,tone_500.wav,5000
valid,tone_2000.wav,2545,tone_2000.wav,5000
valid,tone_2000.wav,2149,tone_2000.wav,5000
valid,tone_2000.wav,2783,tone_2000.wav,5000
valid,tone_500.wav,2770,tone_500.wav,5000
invalid,tone_2000.wav,2692,tone_500.wav,5000
valid,tone_2000.wav,2271,tone_2000.wav,5000
invalid,tone_500.wav,2060,tone_2000.wav,5000
valid,tone_500.wav,2583,tone_500.wav,5000
invalid,tone_2000.wav,2804,tone_500.wav,5000
valid,tone_500.wav,2947,tone_500.wav,5000
